name,country_code,phone,order_status,tracking_id
Karthikeyan,91,8939912509,shipped,nil
Karthikeyan,91,9962959797,shipped,nil
Karthikeyan,91,10986007085,shipped,nil
Karthikeyan,91,12009054373,shipped,nil
Karthikeyan,91,13032101661,shipped,nil
Karthikeyan,91,14055148949,shipped,nil
Karthikeyan,91,15078196237,shipped,nil
Karthikeyan,91,16101243525,shipped,nil
Karthikeyan,91,17124290813,shipped,nil
Karthikeyan,91,18147338101,shipped,nil
Karthikeyan,91,19170385389,shipped,nil
Karthikeyan,91,20193432677,shipped,nil
Karthikeyan,91,21216479965,shipped,nil
Karthikeyan,91,22239527253,shipped,nil
Karthikeyan,91,23262574541,shipped,nil
Karthikeyan,91,24285621829,shipped,nil
Karthikeyan,91,25308669117,shipped,nil
Karthikeyan,91,26331716405,shipped,nil
Karthikeyan,91,27354763693,shipped,nil
Karthikeyan,91,28377810981,shipped,nil
Karthikeyan,91,29400858269,shipped,nil
Karthikeyan,91,30423905557,shipped,nil
Karthikeyan,91,31446952845,shipped,nil
Karthikeyan,91,32470000133,shipped,nil
Karthikeyan,91,33493047421,shipped,nil
Karthikeyan,91,34516094709,shipped,nil
Karthikeyan,91,35539141997,shipped,nil
Karthikeyan,91,36562189285,shipped,nil
Karthikeyan,91,37585236573,shipped,nil
Karthikeyan,91,38608283861,shipped,nil
Karthikeyan,91,39631331149,shipped,nil
Karthikeyan,91,40654378437,shipped,nil
Karthikeyan,91,41677425725,shipped,nil
Karthikeyan,91,42700473013,shipped,nil
Karthikeyan,91,43723520301,shipped,nil
